,objectid,energiomraadeid,bygningsomraadeid,har_grunnvarme,har_fjernvarme,har_kulturminner,har_oppvarmingskarakter,har_energikarakter,har_adresse,bygning_id,bygningstype_navn,profet_bygningstype,profet_bygningsstandard,bruksareal_totalt,bebygd_areal,antall_etasjer,x,y,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,oppgraderes,varme_finnes,reduksjon_termiskbehov,reduksjon_elektriskbehov,har_eksisterende_data,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elektrisk_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elektrisk_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elektrisk_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario,energireduksjon,effectreduksjon
0,1,1,P1,,,,,,,,,Leilighet,Passivhus,182,91.26314770655188,,14.352123,67.268883,False,False,False,False,True,False,0,0,False,0,0,23600.0,2.0,2.0,16335.405454295198,0,0,7286.514571099399,0,0,0,0.87335157,0,0,0.6514841606,0,0,0,1.0694427016,0,0,0.6817644105999999,0,0,0,Alle bygg er passivhus,0,0
1,2,1,P1,,,,,,,,,Leilighet,Passivhus,182,91.26387333116423,,14.352157,67.268822,False,False,False,False,True,False,0,0,False,0,0,23600.0,2.0,2.0,16335.405454295198,0,0,7286.514571099399,0,0,0,0.87335157,0,0,0.6514841606,0,0,0,1.0694427016,0,0,0.6817644105999999,0,0,0,Alle bygg er passivhus,0,0
2,3,1,P1,,,,,,,,,Leilighet,Passivhus,819,91.19076599346307,,14.371925,67.273054,False,False,False,False,True,False,0,0,False,0,0,106300.0,7.0,8.0,73509.3245443284,0,0,32789.3155699473,0,0,0,3.930082065,0,0,2.9316787227,0,0,0,4.8124921572,0,0,3.0679398477,0,0,0,Alle bygg er passivhus,0,0
3,4,1,P1,,,,,,,,,Andre,Passivhus,1152,288.3683436138641,,14.351369,67.268618,False,False,False,False,True,False,0,0,False,0,0,199400.0,34.0,28.0,58654.1695053312,0,0,140776.2296009856,0,0,0,5.2713426816,0,0,29.1434206464,0,0,0,5.502057984,0,0,22.221758016,0,0,0,Alle bygg er passivhus,0,0
4,5,1,P1,,,,,,,,,Leilighet,Passivhus,455,91.25117654195296,,14.383968,67.270926,False,False,False,False,True,False,0,0,False,0,0,59100.0,4.0,4.0,40838.513635738,0,0,18216.286427748502,0,0,0,2.183378925,0,0,1.6287104015,0,0,0,2.673606754,0,0,1.7044110264999999,0,0,0,Alle bygg er passivhus,0,0
5,6,1,P1,,,,,,,,,Andre,Passivhus,1921,384.493919203204,,14.351205,67.268825,False,False,False,False,True,False,0,0,False,0,0,332600.0,57.0,46.0,97807.86425324761,0,0,234749.2509231713,0,0,0,8.790146954299999,0,0,48.597665852199995,0,0,0,9.174872731999999,0,0,37.0555530805,0,0,0,Alle bygg er passivhus,0,0
6,7,1,P1,,,,,,,,,Leilighet,Passivhus,820,91.21225831037161,,14.371935,67.273117,False,False,False,False,True,False,0,0,False,0,0,106400.0,7.0,8.0,73599.079519352,0,0,32829.351364294,0,0,0,3.9348807,0,0,2.935258306,0,0,0,4.8183682160000005,0,0,3.071685806,0,0,0,Alle bygg er passivhus,0,0
7,8,1,P1,,,,,,,,,Leilighet,Passivhus,455,91.19048474999397,,14.36567,67.270928,False,False,False,False,True,False,0,0,False,0,0,59100.0,4.0,4.0,40838.513635738,0,0,18216.286427748502,0,0,0,2.183378925,0,0,1.6287104015,0,0,0,2.673606754,0,0,1.7044110264999999,0,0,0,Alle bygg er passivhus,0,0
8,9,1,P1,,,,,,,,,Leilighet,Passivhus,455,91.14260810892597,,14.384004,67.270737,False,False,False,False,True,False,0,0,False,0,0,59100.0,4.0,4.0,40838.513635738,0,0,18216.286427748502,0,0,0,2.183378925,0,0,1.6287104015,0,0,0,2.673606754,0,0,1.7044110264999999,0,0,0,Alle bygg er passivhus,0,0
9,10,1,P1,,,,,,,,,Leilighet,Passivhus,820,91.21179876238045,,14.365634,67.270989,False,False,False,False,True,False,0,0,False,0,0,106400.0,7.0,8.0,73599.079519352,0,0,32829.351364294,0,0,0,3.9348807,0,0,2.935258306,0,0,0,4.8183682160000005,0,0,3.071685806,0,0,0,Alle bygg er passivhus,0,0
